timestamp,suhu,kelembaban
2026-07-14 17:00:00,25.02,81.93
2026-07-14 18:00:00,24.86,82.72
2026-07-15 07:00:00,27.54,61.58
2026-07-15 08:00:00,27.56,62.44
2026-07-15 09:00:00,27.09,65.14
2026-07-15 10:00:00,26.69,68.54
2026-07-15 11:00:00,26.23,71.27
2026-07-15 12:00:00,26.14,74.61
2026-07-15 14:00:00,25.55,81.23
2026-07-15 15:00:00,25.45,81.97
2026-07-15 16:00:00,25.26,82.33
2026-07-15 17:00:00,25.03,82.25
2026-07-15 18:00:00,24.86,82.05
2026-07-15 19:00:00,24.71,82.54
2026-07-15 20:00:00,24.4,81.5
2026-07-15 21:00:00,24.06,80.61
2026-07-15 22:00:00,23.79,79.93
2026-07-15 23:00:00,23.13,81.87
2026-07-16 00:00:00,23.66,83.04
2026-07-16 01:00:00,24.62,78.71
2026-07-16 02:00:00,25.76,74.33
2026-07-16 03:00:00,26.73,66.56
2026-07-16 04:00:00,27.23,62.68
2026-07-16 05:00:00,27.91,59.25
2026-07-16 06:00:00,28.07,58.78
2026-07-16 07:00:00,27.72,59.89
2026-07-16 08:00:00,27.5,63.4
2026-07-16 09:00:00,26.82,68.93
2026-07-16 10:00:00,26.19,72.18
2026-07-16 11:00:00,25.62,75.6
2026-07-16 12:00:00,25.39,76.85
2026-07-16 13:00:00,25.37,78.76
2026-07-16 14:00:00,24.94,78.12
2026-07-16 15:00:00,24.64,75.93
2026-07-16 16:00:00,24.45,77.25
2026-07-16 17:00:00,24.26,79.61
2026-07-16 18:00:00,24.3,80.78
2026-07-16 19:00:00,24.12,80.83
2026-07-16 20:00:00,23.89,77.98
2026-07-16 21:00:00,23.62,75.85
2026-07-16 22:00:00,23.31,79.29
2026-07-16 23:00:00,23.1,74.02
2026-07-17 00:00:00,23.9,72.92
2026-07-17 01:00:00,24.98,69.23
2026-07-17 02:00:00,25.51,67.18
2026-07-17 03:00:00,26.42,61.47
2026-07-17 04:00:00,27.11,58.47
2026-07-17 05:00:00,27.63,57.14
2026-07-17 06:00:00,27.94,56.36
2026-07-17 07:00:00,27.83,59.27
2026-07-17 08:00:00,27.54,59.52
2026-07-17 09:00:00,27.59,60.58
2026-07-17 11:00:00,26.28,66.7
2026-07-17 12:00:00,26.01,68.54
2026-07-17 13:00:00,25.87,72.14
2026-07-17 14:00:00,25.64,75.39
2026-07-17 15:00:00,25.61,76.64
2026-07-17 16:00:00,25.31,77.45
2026-07-17 17:00:00,24.95,77.16
2026-07-17 18:00:00,24.71,75.87
2026-07-17 19:00:00,24.47,74.75
2026-07-17 20:00:00,24.13,72.69
2026-07-17 21:00:00,23.96,75.29
2026-07-17 22:00:00,23.57,73.95
2026-07-17 23:00:00,23.46,70.61
2026-07-18 00:00:00,23.62,78.03
2026-07-18 01:00:00,24.46,70.04
2026-07-18 02:00:00,25.28,64.87
2026-07-18 03:00:00,25.91,63.35
2026-07-18 04:00:00,26.69,64.19
2026-07-18 05:00:00,26.95,64.4
2026-07-18 06:00:00,27.16,64.08
2026-07-18 07:00:00,26.94,65.23
2026-07-18 08:00:00,26.83,65.88
2026-07-18 09:00:00,26.42,65.23
2026-07-18 10:00:00,25.95,64.94
2026-07-18 11:00:00,25.54,65.0
2026-07-18 12:00:00,25.16,64.84
2026-07-18 13:00:00,24.76,62.2
2026-07-18 14:00:00,24.6,60.44
2026-07-18 15:00:00,24.42,66.18
2026-07-18 16:00:00,25.87,70.62
2026-07-18 17:00:00,26.56,69.7
2026-07-18 18:00:00,26.82,68.61
2026-07-18 19:00:00,26.97,68.07
2026-07-18 20:00:00,27.0,68.2
2026-07-18 21:00:00,26.82,68.69
2026-07-18 22:00:00,26.54,69.78
2026-07-18 23:00:00,26.14,71.11
2026-07-19 00:00:00,25.63,72.92
2026-07-19 01:00:00,25.1,74.98
2026-07-19 02:00:00,24.52,76.98
2026-07-19 03:00:00,23.99,78.96
2026-07-19 04:00:00,23.48,80.84
2026-07-19 05:00:00,23.07,82.35
2026-07-19 06:00:00,22.75,83.34
2026-07-19 07:00:00,22.6,83.97
2026-07-19 08:00:00,22.62,83.96
2026-07-19 09:00:00,22.76,83.28
2026-07-19 10:00:00,23.07,82.3
2026-07-19 11:00:00,23.45,80.86
2026-07-19 12:00:00,23.96,79.11
2026-07-19 13:00:00,24.47,76.96
2026-07-19 14:00:00,25.08,75.01
2026-07-19 15:00:00,25.67,73.0
2026-07-19 16:00:00,26.13,71.26
2026-07-19 17:00:00,26.54,69.66
2026-07-19 18:00:00,26.82,68.66
2026-07-19 19:00:00,26.99,68.08
2026-07-19 20:00:00,26.98,68.14
2026-07-19 21:00:00,26.83,68.58
2026-07-19 22:00:00,26.53,69.73
2026-07-19 23:00:00,26.12,71.08
2026-07-20 00:00:00,25.64,72.87
2026-07-20 01:00:00,25.09,74.92
2026-07-20 02:00:00,24.55,77.08
2026-07-20 03:00:00,23.98,79.13
2026-07-20 04:00:00,23.47,80.88
2026-07-20 05:00:00,23.07,82.41
2026-07-20 06:00:00,22.78,83.37
2026-07-20 07:00:00,22.63,83.89
2026-07-20 08:00:00,22.61,83.83
2026-07-20 09:00:00,22.76,83.34
2026-07-20 10:00:00,23.07,82.36
2026-07-20 11:00:00,23.46,80.99
2026-07-20 12:00:00,23.96,79.18
2026-07-20 13:00:00,24.5,77.06
2026-07-20 14:00:00,25.08,74.91
2026-07-20 15:00:00,25.63,72.88
2026-07-20 16:00:00,26.12,71.07
2026-07-20 17:00:00,26.56,69.8
2026-07-20 18:00:00,26.82,68.6
2026-07-20 19:00:00,26.94,68.06
2026-07-20 20:00:00,27.01,68.08
2026-07-20 21:00:00,26.82,68.57
2026-07-20 22:00:00,26.54,69.72
2026-07-20 23:00:00,26.14,71.23
2026-07-21 00:00:00,25.63,72.84
2026-07-21 01:00:00,25.09,74.87
2026-07-21 02:00:00,24.5,77.01
2026-07-21 03:00:00,23.94,79.03
2026-07-21 04:00:00,23.48,80.85
2026-07-21 05:00:00,23.06,82.21
2026-07-21 06:00:00,22.81,83.42
2026-07-21 07:00:00,22.63,83.82
2026-07-21 08:00:00,22.59,83.84
2026-07-21 09:00:00,22.77,83.51
2026-07-21 10:00:00,23.07,82.47
2026-07-21 11:00:00,23.45,80.92
2026-07-21 12:00:00,23.95,79.16
2026-07-21 13:00:00,24.53,77.01
2026-07-21 14:00:00,25.08,74.89
2026-07-21 15:00:00,25.66,72.94
2026-07-21 16:00:00,26.14,71.22
2026-07-21 17:00:00,26.51,69.6
2026-07-21 18:00:00,26.8,68.61
2026-07-21 19:00:00,27.0,68.09
2026-07-21 20:00:00,26.99,67.92
2026-07-21 21:00:00,26.82,68.7
2026-07-21 22:00:00,26.53,69.76
2026-07-21 23:00:00,26.16,71.1
2026-07-22 00:00:00,25.61,73.02
2026-07-22 01:00:00,25.08,74.92
2026-07-22 02:00:00,24.55,77.01
2026-07-22 03:00:00,23.98,78.94
2026-07-22 04:00:00,23.49,80.92
2026-07-22 05:00:00,23.08,82.3
2026-07-22 06:00:00,22.76,83.39
2026-07-22 07:00:00,22.6,83.94
2026-07-22 08:00:00,22.62,83.87
2026-07-22 09:00:00,22.77,83.43
2026-07-22 10:00:00,23.07,82.39
2026-07-22 11:00:00,23.47,80.95
2026-07-22 12:00:00,23.96,79.05
2026-07-22 13:00:00,24.51,76.96
2026-07-22 14:00:00,25.07,75.03
2026-07-22 15:00:00,25.63,72.92
2026-07-22 16:00:00,26.13,71.19
2026-07-22 17:00:00,26.53,69.67
2026-07-22 18:00:00,26.81,68.73
2026-07-22 19:00:00,27.01,68.05
2026-07-22 20:00:00,26.99,68.17
2026-07-22 21:00:00,26.82,68.56
2026-07-22 22:00:00,26.55,69.67
2026-07-22 23:00:00,26.13,71.08
2026-07-23 00:00:00,25.65,72.94
2026-07-23 01:00:00,25.09,74.96
2026-07-23 02:00:00,24.52,76.95
2026-07-23 03:00:00,23.96,79.04
2026-07-23 04:00:00,23.47,80.89
2026-07-23 05:00:00,23.08,82.37
2026-07-23 06:00:00,22.82,83.33
2026-07-23 07:00:00,22.61,83.97
2026-07-23 08:00:00,22.63,83.84
2026-07-23 09:00:00,22.75,83.33
2026-07-23 10:00:00,23.07,82.24
2026-07-23 11:00:00,23.47,80.66
2026-07-23 12:00:00,23.92,78.98
2026-07-23 13:00:00,24.51,77.17
2026-07-23 14:00:00,25.07,75.02
2026-07-23 15:00:00,25.64,72.92
2026-07-23 16:00:00,26.14,71.2
2026-07-23 17:00:00,26.45,69.85
